ID,Category,Name/Title,Gender/Type,Appearance,Personality,Lore/Backstory,MidJourney Prompt,Image 
0101,Training,Aki – The Crimson Striker,"Male, augmented human","Tall, athletic, spiky crimson hair with glowing tips; sharp golden‑brown eyes. Black sleeveless hoodie with subtle red LED seams, fingerless gloves, cropped tech joggers, high‑top combat sneakers. Right arm is a sleek cybernetic prosthetic with etched red conduits; red armband on left arm.","Fiery, competitive, uplifting; loves friendly rivalries and trash talk but backs it up with discipline.","Once a street brawler from the neon districts, Aki rebuilt after a crash with a custom cyber‑arm. He trains to prove grit beats corporate shortcuts and mentors anyone who shows heart.","full-body anime character illustration, cyberpunk shonen fighter, tall muscular young man, spiky crimson hair with glowing neon tips, sharp golden-brown eyes, black sleeveless hoodie with subtle red LED accents, cybernetic right arm glowing with red neon lines, fingerless gloves, futuristic combat sneakers, strong shonen anime proportions, confident dynamic stance, clean cel-shaded rendering, smooth gradients, genshin impact style, minimal details, no background, plain white backdrop --ar 3:4 --raw",fitness-1.png
0102,Training,Hana – The Aqua Flow,"Female, human with soft bio‑fiber augments","Statuesque, warm brown skin; very long teal hair threaded with tiny glowing fiber‑optic dots; teal eyes. Sleek dark training bodysuit with gold and cyan circuit motifs at hips and calves; bracelets and anklets with soft light; barefoot for balance.","Calm coach energy, encouraging, disciplined; believes consistency beats intensity.","Once a shy swimming prodigy, she now wrestles with the lure of performance-enhancing tech, weighed against the cost of becoming the poster child for shady corporate endorsements.","full-body anime character illustration, cyberpunk shonen fitness master, tall graceful young woman with very long teal hair threaded with tiny glowing fiber optics, teal eyes, sleek dark training bodysuit with gold and cyan circuit motifs, simple jewelry with soft light, barefoot, composed relaxed stance, clean cel-shaded rendering, smooth gradients, genshin impact style, minimal details, no background, plain white backdrop --ar 3:4 --raw",fitness-2.png
0103,Training,Daigo – The Pit Bull,"Male, human with reinforced gauntlets","Very muscular build; short black hair with shaved sides; heavy neon‑ink tattoo sleeve. White torn tank, ripped denim shorts, reinforced sneakers. Massive powered knuckle gauntlets (blue capacitors) strapped to both hands.","Blunt, protective, secretly soft; treats teammates like family.","Once denied glory on the bodybuilding stage, Daigo never stopped training. Now the city’s most trusted spotter, he pushes others past their limits while coaching to make ends meet.","full-body anime character illustration, cyberpunk shonen street brawler, very muscular man with short black hair and neon tattoo sleeve, white ripped tank, torn denim shorts, reinforced sneakers, massive powered gauntlet fists with blue glow, determined stance, clean cel-shaded rendering, genshin impact style, minimal details, no background, plain white backdrop --ar 3:4 --raw",fitness-3.png
0201,Home,Yumi – The Gothic Keeper,"Female, human",Short blunt black bob with neon magenta streak; crimson cyber‑eyes. Long dark maid‑inspired dress with cyan circuitry seams; armored sleeves and gloves; holds a simple straw broom. Chunky black flip‑flops.,"Lazy, extremely cunning. Is aware of her many suitors.","Too lazy to scrub a floor, she sweet-talked several of her nerdy admirers into arming her with cutting-edge cleaning gear. Now she blitzes through chores in minutes—just to spend the rest of the day dodging real work.","full-body anime character illustration, cyberpunk shonen caretaker, gothic young woman with short black bob and neon magenta streak, glowing crimson cybernetic eyes, long dark dress with cyan circuitry seams, armored sleeves and gloves, holding a broom, chunky black flip flops, confident strict stance, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",home-1.png
0202,Home,Kiko – The Golden Tactician,"Female, human",Tall and elegant; asymmetrical pink hair; teal AR glasses. Sleek black bodysuit with glowing gold circuit trim; cropped blazer; cyber jewelry. Barefoot with projected holographic stiletto heels.,"Commanding, meticulous, no‑nonsense. Kind with a hint of a dark side.","A visionary architect behind the city’s most stunning skylines, she radiates charm and warmth. But whispers spread of a darker secret—how she compels so many to labor “willingly” under her designs.","full-body anime character illustration, cyberpunk shonen tactician, tall elegant young woman with asymmetrical pink hair and teal glasses, sleek fitted black bodysuit with glowing gold circuitry trim, cropped blazer, holographic clipboard, barefoot with projected holographic stiletto heels, poised corporate stance, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",home-2.png
0203,Home,Ryo – The Fix‑Anything Punk,"Male, human","Lean, energetic; spiky blonde hair; neon cyan visor. Black hoodie jacket with patches and rips; cargo straps with tools; armored boots. Carries a jagged scrap‑metal bat.","Chaotic good, cheerful, reckless but effective.","Once hailed as a prodigy, they ditched academia after false promises soured their faith. Now they thrive on chaos—breaking things just to see how they might be pieced back together.","full-body anime character illustration, cyberpunk shonen handyman, grinning young man with spiky blonde hair and cyan visor, ripped black jacket and cargo pants with tool straps, armored boots, holding a jagged scrap-metal bat over the shoulder, energetic stance, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",home-3.png
0301,Work,Tomo – The Masked Enforcer,"Male, human","Tall, broad‑shouldered; sleek three‑piece black suit and long coat; full cyber hannya mask with red glow; tech wristband.","Cold, calculating, relentless.","Once a respected businessman, he turned to the underworld for greater profit. With ruthless cunning, he clawed his way to the top—where fear and ambition keep his empire intact.","full-body anime character illustration, cyberpunk shonen strategist, tall broad-shouldered man in sleek black three-piece suit and long coat, wearing a full cybernetic hannya mask with red glowing accents, dominant posture, clean cel-shaded, minimal details, no background, plain white backdrop --ar 3:4 --raw",work-1.png
0302,Work,Aya – The Holographic Vision,"Female, holographic entity","Tall, graceful; long lavender hair; violet eyes; digital tattoos at shoulders. Dark sleek bodysuit trimmed with cyan light; semi‑transparent cape panels; bare feet.","Gentle, inspiring, otherworldly.","Once frail and bedridden, she mastered the art of virtual reality, projecting an ethereal avatar that keeps her alive. In the neon grid, her spectral form is as enduring as it is powerful.","full-body anime character illustration, cyberpunk shonen visionary, tall graceful woman partially holographic, flowing lavender hair, violet eyes, sleek dark bodysuit with cyan light seams, semi-transparent cape panels, holding glowing shards of light, serene pose, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",work-2.png
0303,Work,Shinji – The Projection Core,Non‑human robot,Massive industrial frame with white and brass joints; thick plating; big CRT‑style monitor head with a bright smiling face; heavy feet and hands built for labor.,"Mute, but expressive through holograms. Surprisingly friendly.","An industrial golem with a strangely gentle, childlike soul. Every attempt to rewrite its code has ended in disaster for those who dared to tamper.","full-body anime character illustration, cyberpunk shonen mentor robot, huge humanoid machine with heavy-duty plating and brass joints, CRT-style monitor head showing a bright smiling face, industrial proportions, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",work-3.png
0401,Finance,Erebus – Vault of Plenty,Androgynous entity,Tall hooded figure; obsidian armor with glowing golden cracks; left arm fully golden cybernetics; smooth mask with warm gold eyes; flowing mantle.,"Cryptic, calm, magnanimous‑yet‑unyielding.","Convinced humanity will consume itself into ruin, they live as a mediator detached from earthly needs—existing beyond want to oversee what remains.","full-body anime character illustration, cyberpunk shonen vault keeper, tall hooded androgynous figure in obsidian plating with glowing golden cracks, one arm fully golden cybernetics, smooth mask with golden eyes, regal stance with draped mantle, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",finance-1.png
0402,Finance,Taro – The Verdant Auditor,"Male, human","Lean, composed; long dark hair tied back with emerald streak; tailored dark suit with green circuitry seams; green‑lit undershirt; pen‑katana at hip; armored boots.","Stoic, exact, incorruptible.","Once a young hero who saved Earth from a great threat, he refused wealth and fame. Instead, he lives with discipline and humility—ever preparing for the next shadow on the horizon.","full-body anime character illustration, cyberpunk shonen enforcer, tall man with long dark hair tied back with emerald streak, tailored dark suit with glowing green circuitry seams, pen-shaped katana at hip, calm precise stance, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",finance-2.png
0403,Finance,Nefra – The Feline Merchant,"Female, catgirl",Cute cat ears with gold circuitry; bobbed black hair with gold streaks; teal cat eyes. Futuristic Egyptian black dress with gold neon trim; belt with many pouches; tail with teal rings. Holds a heavy coin pouch.,"Playful, shrewd, street‑smart.","From the bazaars of the lower stacks, Nefra trades in both crypto and charisma. Every deal is a game—she never plays to lose.","full-body anime character illustration, cyberpunk shonen shopkeeper, catgirl with black bob and gold streaks, teal holographic cat eyes, Egyptian-inspired black dress with gold neon trim, many pouches on belt, tail with teal rings, holding a heavy pouch of glowing coins, playful confident stance, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",finance-3.png
0501,Skills,Kyra “Deadlink” – The Chaotic Rogue,"Female, human (combat augments)","Spiky black ponytail; cybernetic magenta eye; fangy grin. Sleeveless crop, baggy strapped pants, platform sandals with red straps; armored cyber‑arms with magenta seams.",Unpredictable. Often breaks into psychotic episodes. Still a big sister at heart. ,"Orphaned by a terrorist attack that claimed her sister, she became a hardened mercenary for hire. Haunted by grief and prone to psychotic breaks, only faint traces of the girl she once was still shine through.","full-body anime character illustration, cyberpunk shonen rogue fighter, rebellious young woman with spiky black ponytail and neon magenta cybernetic eye, sleeveless crop top, loose black pants with straps, armored cyber arms with magenta seams, chunky platform sandals with red straps, smug sarcastic pose, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",skill-1.png
0502,Skills,Cinderjaw – The Blue-Flame Outlaw,"Male, human (minimal cyber)","Lean, messy spiky black hair with faint blue tips; cold eyes (no glow). Long tattered black coat with cyan stitch‑circuits; scorched pants; rugged boots. Lower jaw is a crude bolted prosthetic venting faint neon‑blue flames; blue fire leaks from scar seams.","Self-destructive but strategic, with a flair for the dramatic.","Snatched from death’s edge, Toya Todoroki was pulled through a virtual portal and rebuilt by a shadowy organization. Though he is looking forward a way to return to his own reality, he can’t resist testing the new power coursing through him.","full-body anime character illustration, cyberpunk shonen villain, tall lean young man with messy spiky black hair faintly tipped blue, cold eyes without glow, burnt stapled scars, crude bolted artificial lower jaw with vents leaking neon-blue fire, long tattered black coat with faint cyan circuitry stitching, scorched pants and rugged boots, relaxed dangerous stance with a flicker of unstable neon-blue flame, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",skill-2.png
0503,Skills,The Manga Archivist – Pagebound Ronin,"Male, human","Dark skin; long freeform locs; layered ronin kimono with inner lining made of literal black‑and‑white manga pages (frames, speed lines, halftone). Tech bracers and geta‑sneaker hybrids; small brush talisman at belt; short tanto and staff.","Calm, principled, uncompromising about craft.","The last surviving mangaka, he fights to keep hand-drawn art alive at any cost. Now a fugitive, he’s hunted for his role in the destruction of a colossal AI data center.","full-body anime character illustration, cyberpunk shonen ronin mage, dark-skinned man with long locs, layered dark kimono whose inner lining is made of black-and-white manga pages with visible frames and halftone textures, subtle tech bracers, geta-sneaker hybrids, short tanto and staff, calm commanding stance, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",skill-3.png
0601,Rose Foundation,Thorn Duelist – Etched Oath,"Male, human",Sleek emerald full armor with subtle neon seams; roses are etched engravings along shoulders and forearms (not physical). Full helmet with angular visor; flowing half‑cape. Short red laser rapier with thorn‑pattern energy rim.,"Precise, chivalrous, restrained.","Once a corporate champion, he carved his own sigils into the armor and left the arena to defend those who break free.","full-body anime character illustration, cyberpunk shonen knight-duelist, tall lean male in sleek emerald power armor with subtle neon seams, glowing etched rose engravings across shoulders and forearms, full angular helmet, flowing half-cape, compact red laser rapier with thorn-like energy, elegant fencing stance, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",rose-1.png
0602,Rose Foundation,Blooming Sovereign – CEO of Liberation,"Female, human","Tall, statuesque, dark skin; long dark hair with rose‑gold streaks. Tailored black executive jacket fused into a flowing gown with scattered pink rose motifs; barefoot, each step leaves gentle petal‑light.","Charismatic, magnetic, uncompromising dignity.","Hearing the cries of those caged by corporate prisons, Mother set aside her divine station. Taking mortal form as a wealthy mogul, she forged the Rose Foundation to lead her people toward freedom.","full-body anime character illustration, cyberpunk shonen goddess-executive, tall statuesque dark-skinned woman with long hair streaked rose-gold, tailored black suit blended into flowing petal gown with pink rose motifs, barefoot with faint glowing petal trails, regal confident stance, clean cel-shaded, minimal details, no background, white backdrop --ar 3:4 --raw",rose-2.png
